Director,Nombre,Nota media,Total de películas,Productora habitual,Beneficio total,Mejor filme,Nota
![](https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Joe_Roth_at_Sounders_Victory_Rally%2C_2016.jpg/220px-Joe_Roth_at_Sounders_Victory_Rally%2C_2016.jpg),Joe Roth,5.4,3,Revolution Studios,158963980,America's Sweethearts,5.7
![](NA),Peter Hyams,5.69,10,Autonomous Films,158218151,Running Scared,6.5
![](NA),Scott Hicks,6.84,5,Castle Rock Entertainment,157426277,Shine,7.7
![](NA),John Erick Dowdle,6.275,4,Bold Films,157132676,No Escape,6.8
![](NA),John Glen,6.533333333333333,3,Eon Productions,155681234,The Living Daylights,6.7
![](https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Richard_Benjamin_LOC.jpg/220px-Richard_Benjamin_LOC.jpg),Richard Benjamin,5.84,5,Amblin Entertainment,155353404,Mermaids,6.7
![](https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Richard_Linklater_April_2015.jpg/220px-Richard_Linklater_April_2015.jpg),Richard Linklater,7.18125,16,Annapurna Pictures,155223737,Before Sunrise,8.1
![](https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Mathieu_Kassovitz_Cannes_2017.jpg/220px-Mathieu_Kassovitz_Cannes_2017.jpg),Mathieu Kassovitz,6.6,4,Babylon,150106810,La Haine,8.1
![](https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Robert_Redford_%28cropped%29.jpg/220px-Robert_Redford_%28cropped%29.jpg),Robert Redford,6.785714285714286,7,Allied Filmmakers,150057667,Quiz Show,7.5
![](https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Richard_LaGravenese%2C_September_2017_%282322%29_%28cropped%29.jpg/220px-Richard_LaGravenese%2C_September_2017_%282322%29_%28cropped%29.jpg),Richard LaGravenese,6.8999999999999995,3,Alcon Entertainment,148982652,Freedom Writers,7.6
![](NA),Thomas Carter,6.45,4,Coach Carter,148008750,Coach Carter,7.3
![](NA),Boaz Yakin,7.025,4,IM Global,147548311,Remember the Titans,7.8
![](NA),Gavin O'Connor,7.375,4,Lionsgate,147114925,Warrior,8.1
![](NA),Roger Kumble,5.5,4,Columbia Pictures,144543040,Cruel Intentions,6.8
![](NA),Les Mayfield,5.8,5,Columbia Pictures,143593261,Blue Streak,6.3
![](https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Jay_Russell.jpg/220px-Jay_Russell.jpg),Jay Russell,6.625,4,Alcon Entertainment,143431804,My Dog Skip,7
![](NA),Peter Hewitt,5.4,4,Nelson Entertainment,142338218,Bill & Ted's Bogus Journey,6.3
![](https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Wayne_Wang_film_director_of_Chan_is_Missing.jpg/220px-Wayne_Wang_film_director_of_Chan_is_Missing.jpg),Wayne Wang,6.566666666666666,6,Fox 2000 Pictures,141848667,The Joy Luck Club,7.7
